selection,relation_set,metric,go_id,depth,letters
namespace,is_a,shortest,GO:0001905,4.0,33.0
namespace,is_a,shortest,GO:0001906,2.0,11.0
namespace,is_a,shortest,GO:0001907,4.0,33.0
namespace,is_a,shortest,GO:0001909,3.0,29.0
namespace,is_a,shortest,GO:0001910,5.0,41.0
namespace,is_a,shortest,GO:0001911,6.0,49.0
namespace,is_a,shortest,GO:0001912,6.0,49.0
namespace,is_a,shortest,GO:0001913,4.0,25.0
namespace,is_a,shortest,GO:0001914,6.0,37.0
namespace,is_a,shortest,GO:0001915,7.0,45.0
namespace,is_a,shortest,GO:0001916,7.0,45.0
namespace,is_a,shortest,GO:0001919,4.0,29.0
namespace,is_a,shortest,GO:0001920,5.0,37.0
namespace,is_a,shortest,GO:0001921,5.0,37.0
namespace,is_a,shortest,GO:0001922,5.0,17.0
